passenger_count,trip_distance,tip_amount,total_amount,tip_ratio
1,2.22,2,13.3,15.03759398
2,2.29,0.69,14.49,4.761904762
2,2.8,4.29,18.59,23.07692308
2,5,4.05,24.35,16.63244353
2,2.2,2.35,14.15,16.60777385
2,3.1,1,22.3,4.484304933
1,1.2,0,7.8,0
1,1.1,1.55,7.85,19.74522293
1,4.1,3.55,21.35,16.62763466
1,0.4,0,7.3,0
2,2.48,2.95,14.75,20
2,1.9,1.96,11.76,16.66666667
2,2.28,1.7,14,12.14285714
1,0.8,1.35,8.15,16.56441718
1,0.9,1.95,9.75,20
1,1.2,1.55,9.35,16.57754011
1,1.6,0,13.8,0
1,1.1,0,8.8,0
2,0.96,2.19,9.49,23.07692308
2,4.25,3.76,22.56,16.66666667
2,0.75,0,7.8,0
6,2.45,2.06,12.36,16.66666667
5,1.97,0,10.3,0
1,11.1,10.6,53.16,19.93980436
2,2.3,1,10.3,9.708737864
2,0.5,0,6.3,0
1,3.2,2.55,15.35,16.61237785
1,1.2,1.32,10.12,13.04347826
1,5.9,6.8,29.6,22.97297297
1,2.9,4.7,20.5,22.92682927
1,0.36,0,5.3,0
2,5.9,5.9,35.46,16.63846588
1,1.7,0,8.3,0
1,6.98,0,26.3,0
1,1.7,1.5,9.8,15.30612245
1,2.1,2,12.3,16.2601626
1,3.2,2.95,17.75,16.61971831
2,1.3,0,9.8,0
2,4.2,5.25,31.55,16.64025357
2,3,2.85,17.15,16.6180758
1,2,0,10.8,0
6,3.12,2.76,16.56,16.66666667
6,4.88,6.24,27.04,23.07692308
1,19.4,10.55,63.35,16.65351223
1,0.6,0,6.8,0
1,6.4,0,25.3,0
1,0.84,1.02,7.82,13.04347826
1,2.17,0,11.3,0
1,5.51,6.54,28.34,23.07692308
1,1.6,1.85,11.15,16.59192825
1,3.8,0,24.3,0
2,4.36,3,20.3,14.77832512
1,0,1,4.8,20.83333333
2,4.23,0,17.8,0
1,1.01,0,7.3,0
1,12.76,3.7,40,9.25
1,2.81,2.66,15.96,16.66666667
1,5.04,5.82,29.12,19.98626374
